brand_name,is_franchise_available,franchise_fee,deposit,total_investment_range,estimated_payback_period,area_protection_policy,franchise_conditions,source_url,note
蜜雪冰城,true,7000-11000元/年,20000元,21-25万元,10-14个月,同品牌间距≥300-500米,装修费：6-10万元；设备费：7-8万元,https://mp.weixin.qq.com/,数据来源：微信公众号；查询日期：2026-07-24；第三方采集数据，关键费用和政策须向品牌官方核验
瑞幸咖啡,true,0元,,20-80万元,12-18个月,部分区域间距仅403米,装修费：视门店而定；设备费：首付5.5万可分期,https://post.smzdm.com/,数据来源：什么值得买；查询日期：2026-07-24；第三方采集数据，关键费用和政策须向品牌官方核验
霸王茶姬,true,按GMV抽成17%,,80-100万元,,,,https://mp.weixin.qq.com/,数据来源：微信公众号；查询日期：2026-07-24；第三方采集数据，关键费用和政策须向品牌官方核验
茶百道,true,加盟费全免（翻牌/势能门店）,,,,,装修费：硬装补贴50%（最高6万）；设备费：新设备补贴3万,https://www.xiaohongshu.com/,数据来源：小红书；查询日期：2026-07-24；第三方采集数据，关键费用和政策须向品牌官方核验
古茗,true,约25万元（含设备）,5万元装修补贴,23万元起,,非同商圈保护,,https://m.winshang.com/,数据来源：赢商网；查询日期：2026-07-24；第三方采集数据，关键费用和政策须向品牌官方核验
库迪咖啡,true,0元,5万元,20.8-53万元,,,,https://jiameng.baidu.com/,数据来源：加盟百度；查询日期：2026-07-24；第三方采集数据，关键费用和政策须向品牌官方核验
喜茶,true,5万元/3年,2-3万元,40.8-100万元,12-18个月,,,https://www.xiaohongshu.com/,数据来源：小红书；查询日期：2026-07-24；第三方采集数据，关键费用和政策须向品牌官方核验
沪上阿姨,true,限时2.98万（原4.98万）,,12-15个月,,微信公众号,设备费：17-50万元,2026-07-24,数据来源：https://mp.weixin.qq.com/；第三方采集数据，关键费用和政策须向品牌官方核验
Tims天好咖啡,true,6万/3年或10万/5年,5万元,,,独立店60㎡以上/大堂店30-50㎡,,https://www.yilantop.com/,数据来源：壹览商业；查询日期：2026-07-24；第三方采集数据，关键费用和政策须向品牌官方核验
