brand_name,stock_code,market,current_price,change_percent,volume,market_cap,pe_ratio,currency,trade_date,source_url
瑞幸咖啡,LKNCY,US,32.03,-2.18,619724.0,,,USD,2026-07-23,https://www.akshare.xyz/
星巴克,SBUX,US,103.21,-0.71,6981379.0,,,USD,2026-07-23,https://www.akshare.xyz/
奈雪的茶,02150,HK,0.74,0.0,2153500.0,,,HKD,2026-07-23,https://www.akshare.xyz/
茶百道,02555,HK,4.7,-4.47,900800.0,,,HKD,2026-07-23,https://www.akshare.xyz/
蜜雪冰城,02097,HK,215.2,-0.17,167561.0,,,HKD,2026-07-23,https://www.akshare.xyz/
霸王茶姬,CHGY,US,,,,,,USD,2026-07-24,https://www.akshare.xyz/
古茗,01364,HK,21.7,23.45,3954802.0,,,HKD,2026-07-24,https://www.akshare.xyz/
喜茶,,未上市,,,,,,,2026-07-24,https://www.akshare.xyz/
库迪咖啡,,未上市,,,,,,,2026-07-24,https://www.akshare.xyz/
