brand_name,stock_code,market,current_price,price_change,price_change_pct,volume,market_cap,pe_ratio,trade_date,source_url,query_date
瑞幸咖啡,LKNCY,US,32.03,-0.71,-2.18,619724.0,,,2026-07-23,https://www.akshare.xyz/,2026-07-24
星巴克,SBUX,US,103.21,-0.74,-0.71,6981379.0,,,2026-07-23,https://www.akshare.xyz/,2026-07-24
奈雪的茶,02150,HK,0.74,0.0,0.0,2153500.0,,,2026-07-23,https://www.akshare.xyz/,2026-07-24
茶百道,02555,HK,4.7,-0.22,-4.47,900800.0,,,2026-07-23,https://www.akshare.xyz/,2026-07-24
蜜雪冰城,02097,HK,215.2,-0.37,-0.17,167561.0,,,2026-07-23,https://www.akshare.xyz/,2026-07-24
霸王茶姬,CHGY,US,,,,,,,2026-07-24,https://www.akshare.xyz/,2026-07-24
古茗,01364,HK,21.7,4.12,23.45,3954802.0,,,2026-07-24,https://www.akshare.xyz/,2026-07-24
喜茶,,未上市,,,,,,,2026-07-24,https://www.akshare.xyz/,2026-07-24
库迪咖啡,,未上市,,,,,,,2026-07-24,https://www.akshare.xyz/,2026-07-24
