brand_name,franchise_available,franchise_fee,deposit,renovation_fee,equipment_fee,total_investment_range,payback_period,territorial_protection,data_source,source_url,query_date
mixue_bingcheng,是,7000-11000元/年,20000元,6-10万元,7-8万元,21-25万元,10-14个月,同品牌间距≥300-500米,微信公众号,https://mp.weixin.qq.com/,2026-07-24
luckin_coffee,是,0元,,视门店而定,首付5.5万可分期,20-80万元,12-18个月,部分区域间距仅403米,什么值得买,https://post.smzdm.com/,2026-07-24
chagee,是,按GMV抽成17%,,,,80-100万元,,,微信公众号,https://mp.weixin.qq.com/,2026-07-24
chabaidao,是,加盟费全免（翻牌/势能门店）,,硬装补贴50%（最高6万）,新设备补贴3万,,,,小红书,https://www.xiaohongshu.com/,2026-07-24
guming,是,约25万元（含设备）,5万元装修补贴,,,23万元起,,非同商圈保护,赢商网,https://m.winshang.com/,2026-07-24
cotti_coffee,是（部分城市暂停）,0元,5万元,,,20.8-53万元,,,加盟百度,https://jiameng.baidu.com/,2026-07-24
heytea,是,5万元/3年,2-3万元,,,40.8-100万元,12-18个月,,小红书,https://www.xiaohongshu.com/,2026-07-24
auntea_jenny,是,限时2.98万（原4.98万）,,,17-50万元,12-15个月,,微信公众号,https://mp.weixin.qq.com/,2026-07-24
tims_china,是,6万/3年或10万/5年,5万元,,,,,独立店60㎡以上/大堂店30-50㎡,壹览商业,https://www.yilantop.com/,2026-07-24
