brand_name,stock_code,market,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,net_margin,pe_ratio,pb_ratio,roe,analyst_rating,query_date
蜜雪冰城,02097,HK,2025-12-31,335.60,35.2,58.87,32.7,31.1,17.5,13.96,3.39,29.88,增持,2026-07-26
奈雪的茶,02150,HK,2025-12-31,43.31,-12.0,-2.39,-200.0,27.5,-5.5,-4.75,0.31,-6.31,沽售,2026-07-26
茶百道,02555,HK,2025-12-31,53.95,9.7,8.05,70.5,32.5,14.9,8.34,1.69,20.42,买入,2026-07-26
古茗,01364,HK,2025-12-31,129.14,46.9,31.00,110.0,30.0,24.0,16.00,3.50,78.81,跑赢行业,2026-07-26
瑞幸咖啡,LKNCY,US,2025-12-31,492.88,35.3,15.18,-3.3,—,4.2,18.00,3.20,23.83,增持,2026-07-26
星巴克,SBUX,US,2025-09-28,371.84,4.5,9.20,10.5,—,—,25.00,-6.50,-23.88,中性,2026-07-26
霸王茶姬,CHGY,US,2026-03-31,35.46,4.5,5.07,-25.2,—,14.3,15.61,1.89,20.50,增持,2026-07-26
